법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
구미동,하얀마을(5단지)(주공),38.07,16000,1995,2008-01-30,13,정자역,개통 전
서현동,시범한신,59.995,40000,1991,2008-01-07,5,정자역,개통 전
야탑동,매화마을(주공3),41.85,22500,1993,2008-01-07,7,정자역,개통 전
금곡동,청솔마을(한라),58.8,37500,1995,2008-01-21,10,정자역,개통 전
이매동,이매촌(동신9),134.88,92500,1992,2008-01-22,9,정자역,개통 전
이매동,아름마을(건영),133.89,84500,1992,2008-01-30,7,정자역,개통 전
수내동,양지마을(3단지)(금호),134.48,84000,1992,2008-01-26,1,정자역,개통 전
야탑동,매화마을(주공3),41.85,20000,1993,2008-01-09,1,정자역,개통 전
야탑동,장미마을(동부),59.76,37000,1993,2008-01-25,12,정자역,개통 전
구미동,무지개(4단지)(주공),49.67,25000,1995,2008-01-21,8,정자역,개통 전
구미동,무지개(3단지)(건영),53.83,24800,1996,2008-01-23,13,정자역,개통 전
금곡동,청솔마을(계룡),55.44,32000,1996,2008-01-29,6,정자역,개통 전
구미동,무지개(12단지)(주공뜨란체),59.98,24000,1995,2008-01-17,19,정자역,개통 전
이매동,이매촌(한신),50.1,32700,1992,2008-01-05,10,정자역,개통 전
이매동,아름마을(효성),130.35,96000,1994,2008-01-28,13,정자역,개통 전
서현동,효자촌(현대),128.04,97000,1992,2008-01-25,11,정자역,개통 전
금곡동,청솔마을(계룡),55.44,31000,1996,2008-01-05,15,정자역,개통 전
정자동,느티마을(4단지)(공무원),58.71,48000,1994,2008-01-03,11,정자역,개통 전
야탑동,장미마을(동부),59.76,38800,1993,2008-01-22,7,정자역,개통 전
구미동,무지개(2단지)(엘지),49.83,24500,1995,2008-01-01,5,정자역,개통 전
야탑동,목련마을(영남),53.6,25700,1995,2008-01-12,10,정자역,개통 전
구미동,까치마을(4단지)(롯데),51.32,27000,1995,2008-01-09,11,정자역,개통 전
야탑동,탑마을(주공),36.0,17500,1993,2008-01-16,2,정자역,개통 전
금곡동,두산위브트레지움,147.6,100000,2003,2008-01-30,9,정자역,개통 전
정자동,한솔마을(4단지)(주공),35.28,15200,1994,2008-01-03,4,정자역,개통 전
수내동,양지마을(5단지)(한양501-514),42.56,20750,1992,2008-01-24,10,정자역,개통 전
서현동,효자촌(삼환),46.065,26900,1992,2008-01-03,5,정자역,개통 전
야탑동,장미마을(동부),59.76,39100,1993,2008-01-02,4,정자역,개통 전
수내동,"양지마을(6단지)(금호,청구)",59.625,34500,1992,2008-01-25,5,정자역,개통 전
이매동,아름마을(선경),41.76,23000,1993,2008-01-18,5,정자역,개통 전
구미동,무지개(5단지)(청구),58.49,30900,1995,2008-01-16,13,정자역,개통 전
금곡동,청솔마을(한라),69.12,24120,1995,2008-01-29,13,정자역,개통 전
야탑동,매화마을(주공3),41.85,23000,1993,2008-01-09,9,정자역,개통 전
정자동,한솔마을(5단지)(주공),41.85,21800,1994,2008-01-15,15,정자역,개통 전
서현동,효자촌(대우),53.82,28500,1994,2008-01-03,6,정자역,개통 전
수내동,양지마을(5단지)(한양501-514),35.1,16100,1992,2008-01-19,10,정자역,개통 전
이매동,이매촌(금강),50.82,35000,1992,2008-01-03,13,정자역,개통 전
수내동,양지마을(5단지)(한양501-514),28.16,11800,1992,2008-01-15,9,정자역,개통 전
정자동,정든마을(5단지)(신화),52.44,34200,1995,2008-01-15,11,정자역,개통 전
금곡동,청솔마을(한라),58.8,34000,1995,2008-01-14,4,정자역,개통 전
이매동,이매촌(금강),50.82,31900,1992,2008-01-09,2,정자역,개통 전
수내동,양지마을(5단지)(한양501-514),48.51,30000,1992,2008-01-18,2,정자역,개통 전
구미동,까치마을(4단지)(선경),51.32,27300,1995,2008-01-02,10,정자역,개통 전
정자동,한솔마을(4단지)(주공),35.28,16800,1994,2008-01-05,7,정자역,개통 전
금곡동,청솔마을(주공9단지),42.84,23900,1995,2008-01-19,8,정자역,개통 전
정자동,정든마을(6단지)(우성),48.84,21000,1994,2008-01-15,1,정자역,개통 전
서현동,시범한양,35.1,19500,1991,2008-01-18,14,정자역,개통 전
이매동,이매촌(진흥),59.58,42500,1993,2008-01-19,8,정자역,개통 전
야탑동,장미마을(현대),84.79,33600,1993,2008-01-24,11,정자역,개통 전
서현동,시범현대,189.63,123000,1991,2008-01-23,6,정자역,개통 전
서현동,효자촌(임광),129.88,88000,1992,2008-01-15,9,정자역,개통 전
