Location,Complex,Area(m²),Price(₩10k),Built_Year,Contract_Date,Floor,Station,Phase
배곧동,시흥배곧신도시골드클래스,65.6078,29900,2016,2018-09-04,17,UnjeongCentral,Before
은행동,시흥성원샹떼빌,59.73,21500,1995,2018-09-15,15,UnjeongCentral,Before
대야동,영남1,39.84,16500,1986,2018-09-21,1,UnjeongCentral,Before
은행동,벽산3차,59.95,20500,1998,2018-09-17,4,UnjeongCentral,Before
포동,태현2,53.08,12500,1991,2018-09-10,6,UnjeongCentral,Before
하중동,참이슬마을,101.25,25000,1999,2018-09-28,4,UnjeongCentral,Before
미산동,경신,58.95,10700,1992,2018-09-19,2,UnjeongCentral,Before
정왕동,주공5,59.56,16000,1998,2018-09-11,10,UnjeongCentral,Before
정왕동,건영5,84.92,24000,2002,2018-09-27,9,UnjeongCentral,Before
능곡동,현진에버빌,84.77,39500,2010,2018-09-08,11,UnjeongCentral,Before
정왕동,동남,59.03,18500,1998,2018-09-18,8,UnjeongCentral,Before
정왕동,청솔아파트,48.45,13300,1999,2018-09-13,1,UnjeongCentral,Before
정왕동,주공5,84.84,23800,1998,2018-09-22,10,UnjeongCentral,Before
장곡동,숲속마을,59.965,18000,1999,2018-09-14,4,UnjeongCentral,Before
은행동,시흥성원샹떼빌,37.8,16500,1995,2018-09-29,3,UnjeongCentral,Before
목감동,청도,48.8,15000,1986,2018-09-15,1,UnjeongCentral,Before
능곡동,우남퍼스트빌,84.894,36500,2011,2018-09-29,3,UnjeongCentral,Before
정왕동,신호새피앙,134.91,32500,1997,2018-09-04,6,UnjeongCentral,Before
정왕동,미주,59.91,18300,1996,2018-09-29,8,UnjeongCentral,Before
대야동,서강2,59.98,23750,1997,2018-09-07,5,UnjeongCentral,Before
하중동,데코빌,41.6,10850,2003,2018-09-13,12,UnjeongCentral,Before
정왕동,영남2,59.908,16800,1996,2018-09-05,4,UnjeongCentral,Before
정왕동,화성,84.9,20800,1997,2018-09-29,1,UnjeongCentral,Before
배곧동,호반베르디움더프라임,84.4646,42750,2016,2018-09-10,14,UnjeongCentral,Before
정왕동,주공2,59.88,16800,1997,2018-09-03,3,UnjeongCentral,Before
은행동,벽산3차,84.99,28000,1998,2018-09-12,17,UnjeongCentral,Before
배곧동,시흥배곧SK뷰,62.8305,31500,2015,2018-09-26,26,UnjeongCentral,Before
배곧동,시흥배곧SK뷰,73.0453,35800,2015,2018-09-26,21,UnjeongCentral,Before
하중동,참이슬마을,101.25,28800,1999,2018-09-12,17,UnjeongCentral,Before
포동,산과우리들포동태산,59.95,18200,1993,2018-09-08,15,UnjeongCentral,Before
하중동,유호NPLUSVILLE,59.4975,15000,2004,2018-09-04,9,UnjeongCentral,Before
장곡동,숲속마을,59.965,17900,1999,2018-09-12,8,UnjeongCentral,Before
정왕동,진로,59.286,17400,1997,2018-09-12,5,UnjeongCentral,Before
도창동,에이스,59.34,18800,1997,2018-09-30,7,UnjeongCentral,Before
정왕동,계룡2,84.91,19700,1998,2018-09-15,5,UnjeongCentral,Before
장현동,새재마을청구,59.91,24000,2001,2018-09-01,14,UnjeongCentral,Before
정왕동,주공4,59.59,16900,1998,2018-09-07,3,UnjeongCentral,Before
은행동,대우푸르지오1차,59.946,20450,1996,2018-09-22,19,UnjeongCentral,Before
은행동,대우푸르지오4차,101.1734,35800,2004,2018-09-27,12,UnjeongCentral,Before
정왕동,대림1,51.228,15200,1998,2018-09-29,3,UnjeongCentral,Before
신천동,일신,59.94,17000,2002,2018-09-28,2,UnjeongCentral,Before
대야동,현대,55.05,17900,1986,2018-09-10,3,UnjeongCentral,Before
대야동,영남1,39.84,18000,1986,2018-09-15,4,UnjeongCentral,Before
은행동,대우푸르지오3차,84.908,31900,1998,2018-09-15,7,UnjeongCentral,Before
정왕동,주공3,59.67,16000,1997,2018-09-14,5,UnjeongCentral,Before
조남동,목감퍼스트리움,59.8,38000,2015,2018-09-08,12,UnjeongCentral,Before
조남동,네이처하임,84.93,49000,2016,2018-09-12,18,UnjeongCentral,Before
정왕동,건영3,84.98,22000,2002,2018-09-21,5,UnjeongCentral,Before
은행동,대우푸르지오3차,59.258,25000,1998,2018-09-12,17,UnjeongCentral,Before
정왕동,동원,117.34,30000,1998,2018-09-11,3,UnjeongCentral,Before
정왕동,영남2,59.908,18250,1996,2018-09-27,9,UnjeongCentral,Before
은행동,대우푸르지오4차,101.1734,37000,2004,2018-09-01,8,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,21000,2005,2018-09-15,10,UnjeongCentral,Before
은행동,은행마을녹원,84.91,22500,1997,2018-09-12,8,UnjeongCentral,Before
정왕동,대림2,51.228,14000,1998,2018-09-15,3,UnjeongCentral,Before
장곡동,진말삼환한진아파트,59.58,19300,1999,2018-09-13,8,UnjeongCentral,Before
정왕동,세종3,85.0,21500,1998,2018-09-14,2,UnjeongCentral,Before
정왕동,주공1,59.57,16800,1997,2018-09-21,5,UnjeongCentral,Before
은행동,철산,42.67,10500,1986,2018-09-29,4,UnjeongCentral,Before
정왕동,시화두산,59.97,17200,1996,2018-09-14,2,UnjeongCentral,Before
배곧동,시흥배곧신도시호반베르디움센트럴파크,65.4139,33000,2015,2018-09-29,21,UnjeongCentral,Before
배곧동,호반베르디움더프라임,63.844,31900,2016,2018-09-01,10,UnjeongCentral,Before
정왕동,건영2,59.99,14800,1997,2018-09-06,4,UnjeongCentral,Before
정왕동,대림1,51.228,14700,1998,2018-09-18,1,UnjeongCentral,Before
정왕동,주공3,84.7,23000,1997,2018-09-15,8,UnjeongCentral,Before
능곡동,시흥능곡신안인스빌,84.995,35700,2008,2018-09-15,6,UnjeongCentral,Before
대야동,영남1,39.84,18300,1986,2018-09-11,1,UnjeongCentral,Before
정왕동,세종2,84.84,22900,1997,2018-09-20,10,UnjeongCentral,Before
은행동,대우푸르지오4차,71.9352,30500,2004,2018-09-13,7,UnjeongCentral,Before
은행동,대우푸르지오4차,71.9352,31500,2004,2018-09-18,5,UnjeongCentral,Before
신천동,경남아너스빌아파트,84.8762,28700,2005,2018-09-18,5,UnjeongCentral,Before
논곡동,목감한양수자인아파트,59.9297,31300,2016,2018-09-02,3,UnjeongCentral,Before
신천동,시흥신천휴먼시아,84.51,32300,2010,2018-09-15,16,UnjeongCentral,Before
은행동,대우푸르지오4차,84.7561,31400,2004,2018-09-21,2,UnjeongCentral,Before
은행동,대우푸르지오4차,84.7561,33800,2004,2018-09-11,10,UnjeongCentral,Before
은행동,대우푸르지오4차,101.1734,35300,2004,2018-09-01,15,UnjeongCentral,Before
정왕동,계룡2,84.91,20400,1998,2018-09-29,5,UnjeongCentral,Before
조남동,네이처하임,84.91,45000,2016,2018-09-02,3,UnjeongCentral,Before
대야동,영남2,37.47,16500,1987,2018-09-12,2,UnjeongCentral,Before
대야동,영남2,37.47,16600,1987,2018-09-12,3,UnjeongCentral,Before
정왕동,계룡2,84.91,20500,1998,2018-09-10,9,UnjeongCentral,Before
은행동,두산,84.9,28500,1997,2018-09-27,5,UnjeongCentral,Before
은행동,신명,48.84,16800,1995,2018-09-20,4,UnjeongCentral,Before
은행동,철산,42.67,10600,1986,2018-09-10,3,UnjeongCentral,Before
정왕동,건영3,84.92,19400,2002,2018-09-29,1,UnjeongCentral,Before
정왕동,건영5,84.92,23650,2002,2018-09-12,5,UnjeongCentral,Before
하상동,연꽃마을금호,59.79,19000,1999,2018-09-08,15,UnjeongCentral,Before
정왕동,화성,84.9,25500,1997,2018-09-17,7,UnjeongCentral,Before
정왕동,건영1,59.98,16500,1997,2018-09-21,6,UnjeongCentral,Before
정왕동,시화두산,59.97,17300,1996,2018-09-10,9,UnjeongCentral,Before
은행동,대우푸르지오4차,71.9352,31800,2004,2018-09-14,14,UnjeongCentral,Before
은행동,산호아파트,49.22,11750,1989,2018-09-18,2,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,21400,2005,2018-09-21,8,UnjeongCentral,Before
정왕동,신동아,59.78,14500,1996,2018-09-28,1,UnjeongCentral,Before
은행동,대우푸르지오3차,59.258,23800,1998,2018-09-06,10,UnjeongCentral,Before
조남동,가야,62.73,18200,1990,2018-09-10,3,UnjeongCentral,Before
정왕동,영남2,59.908,17300,1996,2018-09-18,7,UnjeongCentral,Before
거모동,동보,25.12,6200,1999,2018-09-13,11,UnjeongCentral,Before
은행동,대우푸르지오4차,84.7561,34500,2004,2018-09-10,5,UnjeongCentral,Before
은행동,대우푸르지오4차,101.1734,35800,2004,2018-09-22,18,UnjeongCentral,Before
은행동,대우푸르지오4차,84.7561,35000,2004,2018-09-10,16,UnjeongCentral,Before
은행동,대우푸르지오4차,84.7561,34000,2004,2018-09-08,7,UnjeongCentral,Before
배곧동,시흥배곧신도시호반베르디움센트럴파크,65.049,33300,2015,2018-09-13,27,UnjeongCentral,Before
능곡동,시흥능곡신안인스빌,84.958,35000,2008,2018-09-18,8,UnjeongCentral,Before
정왕동,보성,84.94,23700,1998,2018-09-17,10,UnjeongCentral,Before
배곧동,한라비발디캠퍼스,71.874,33000,2017,2018-09-13,36,UnjeongCentral,Before
하상동,연꽃마을태평2,84.754,22750,2003,2018-09-12,3,UnjeongCentral,Before
하상동,연꽃마을대우삼호아파트,59.88,18500,1999,2018-09-12,20,UnjeongCentral,Before
신천동,경남아너스빌아파트,59.751,25200,2005,2018-09-17,12,UnjeongCentral,Before
정왕동,보성,59.89,20950,1998,2018-09-17,4,UnjeongCentral,Before
은행동,대우푸르지오1차,78.9,25200,1996,2018-09-27,19,UnjeongCentral,Before
논곡동,산호,59.79,19000,1992,2018-09-12,13,UnjeongCentral,Before
정왕동,신우,101.991,25000,1996,2018-09-17,3,UnjeongCentral,Before
매화동,동진,57.72,13700,1993,2018-09-03,7,UnjeongCentral,Before
능곡동,신일해피트리,124.8506,45000,2009,2018-09-12,10,UnjeongCentral,Before
정왕동,주공6,59.94,18500,1998,2018-09-22,9,UnjeongCentral,Before
정왕동,유천,84.72,19400,1996,2018-09-05,7,UnjeongCentral,Before
정왕동,아주,84.195,18800,1994,2018-09-14,19,UnjeongCentral,Before
정왕동,아주,34.8,10800,1994,2018-09-15,2,UnjeongCentral,Before
정왕동,건영1,84.93,24300,1997,2018-09-27,6,UnjeongCentral,Before
은행동,산호아파트,49.22,10500,1989,2018-09-15,5,UnjeongCentral,Before
정왕동,영남2,59.908,15900,1996,2018-09-07,1,UnjeongCentral,Before
정왕동,한일,59.91,17900,1996,2018-09-04,7,UnjeongCentral,Before
정왕동,세종1,84.94,27300,1996,2018-09-15,6,UnjeongCentral,Before
정왕동,영남2,59.908,17000,1996,2018-09-15,1,UnjeongCentral,Before
대야동,동신,82.696,31800,2004,2018-09-01,5,UnjeongCentral,Before
대야동,동신,82.696,33800,2004,2018-09-08,17,UnjeongCentral,Before
은행동,대우푸르지오4차,120.596,41000,2004,2018-09-11,19,UnjeongCentral,Before
대야동,영남1,39.96,18000,1986,2018-09-11,4,UnjeongCentral,Before
은행동,대우푸르지오3차,59.258,23500,1998,2018-09-14,10,UnjeongCentral,Before
대야동,동신,101.6755,35140,2004,2018-09-13,4,UnjeongCentral,Before
월곶동,풍림아이원1차,26.94,8250,2002,2018-09-01,5,UnjeongCentral,Before
은행동,시흥성원샹떼빌,37.8,15000,1995,2018-09-18,16,UnjeongCentral,Before
정왕동,주공2,59.67,16500,1997,2018-09-27,8,UnjeongCentral,Before
정왕동,주공2,59.67,15900,1997,2018-09-21,5,UnjeongCentral,Before
정왕동,유천,84.72,18500,1996,2018-09-29,1,UnjeongCentral,Before
대야동,영남2,42.966,18000,1987,2018-09-08,6,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,22270,2005,2018-09-30,14,UnjeongCentral,Before
매화동,서능1차(101~103동),45.66,9400,1991,2018-09-26,2,UnjeongCentral,Before
대야동,영남1,39.96,18600,1986,2018-09-21,3,UnjeongCentral,Before
대야동,삼보,78.24,23800,1991,2018-09-15,5,UnjeongCentral,Before
대야동,영남2,37.47,16500,1987,2018-09-29,4,UnjeongCentral,Before
대야동,영남2,42.966,17100,1987,2018-09-07,6,UnjeongCentral,Before
대야동,삼보,63.42,22000,1991,2018-09-29,3,UnjeongCentral,Before
은행동,대우푸르지오4차,84.7561,32800,2004,2018-09-18,2,UnjeongCentral,Before
월곶동,풍림아이원1차,26.94,8200,2002,2018-09-15,12,UnjeongCentral,Before
월곶동,풍림아이원2차,37.918,15450,2005,2018-09-28,7,UnjeongCentral,Before
은행동,산호아파트,49.22,12250,1989,2018-09-30,1,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,22550,2005,2018-09-29,15,UnjeongCentral,Before
조남동,가야,43.94,11800,1990,2018-09-17,4,UnjeongCentral,Before
정왕동,건영2,84.93,22100,1997,2018-09-06,3,UnjeongCentral,Before
정왕동,건영2,84.93,22400,1997,2018-09-06,9,UnjeongCentral,Before
정왕동,시화두산,50.03,15400,1996,2018-09-25,1,UnjeongCentral,Before
정왕동,시화두산,59.97,17900,1996,2018-09-15,3,UnjeongCentral,Before
도창동,에이스,59.34,18000,1997,2018-09-30,11,UnjeongCentral,Before
도창동,에이스,59.34,16600,1997,2018-09-29,2,UnjeongCentral,Before
도창동,에이스,59.34,18650,1997,2018-09-09,14,UnjeongCentral,Before
장현동,새재마을청구,59.91,24700,2001,2018-09-07,16,UnjeongCentral,Before
조남동,세원,41.28,14800,1986,2018-09-30,2,UnjeongCentral,Before
조남동,삼호가든아파트,84.98,32000,1997,2018-09-15,10,UnjeongCentral,Before
조남동,목감퍼스트리움,59.8,36500,2015,2018-09-03,5,UnjeongCentral,Before
정왕동,영남1,59.983,16000,1996,2018-09-14,4,UnjeongCentral,Before
대야동,영남1,39.96,16700,1986,2018-09-07,1,UnjeongCentral,Before
대야동,벽산,77.2,23900,1992,2018-09-11,8,UnjeongCentral,Before
배곧동,호반베르디움더프라임,63.844,33500,2016,2018-09-30,17,UnjeongCentral,Before
배곧동,시흥배곧SK뷰,84.9805,42300,2015,2018-09-21,22,UnjeongCentral,Before
배곧동,호반베르디움더프라임,63.844,32900,2016,2018-09-12,21,UnjeongCentral,Before
은행동,대우푸르지오4차,84.7561,32700,2004,2018-09-12,2,UnjeongCentral,Before
은행동,대우푸르지오4차,120.596,40000,2004,2018-09-08,4,UnjeongCentral,Before
정왕동,한일,84.76,21800,1996,2018-09-09,6,UnjeongCentral,Before
목감동,대명,74.16,24000,1990,2018-09-03,13,UnjeongCentral,Before
조남동,삼호가든아파트,59.95,21700,1997,2018-09-07,2,UnjeongCentral,Before
매화동,금강2차,59.748,15300,1997,2018-09-14,3,UnjeongCentral,Before
정왕동,신호새피앙,84.96,19500,1997,2018-09-13,5,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,20300,2005,2018-09-16,15,UnjeongCentral,Before
정왕동,영남5,101.94,22700,1996,2018-09-01,3,UnjeongCentral,Before
정왕동,계룡리슈빌,84.97,20000,1997,2018-09-28,1,UnjeongCentral,Before
대야동,벽산,77.2,23900,1992,2018-09-19,4,UnjeongCentral,Before
대야동,우성2,59.96,23500,1995,2018-09-22,10,UnjeongCentral,Before
월곶동,풍림아이원1차,199.88,38000,2002,2018-09-05,11,UnjeongCentral,Before
정왕동,한신공영,73.09,18900,1996,2018-09-05,2,UnjeongCentral,Before
배곧동,시흥배곧SK뷰,84.9805,42200,2015,2018-09-13,28,UnjeongCentral,Before
죽율동,시흥6차푸르지오2단지,84.98,27800,2013,2018-09-19,11,UnjeongCentral,Before
미산동,상아그린,59.95,12700,1995,2018-09-21,10,UnjeongCentral,Before
정왕동,대림2,51.228,14500,1998,2018-09-07,4,UnjeongCentral,Before
정왕동,아주,34.8,11300,1994,2018-09-20,4,UnjeongCentral,Before
은행동,두산,71.55,26500,1997,2018-09-07,12,UnjeongCentral,Before
정왕동,대림2,51.228,14700,1998,2018-09-05,3,UnjeongCentral,Before
은행동,대우푸르지오4차,101.1734,35700,2004,2018-09-12,5,UnjeongCentral,Before
은행동,대우푸르지오4차,84.7561,34900,2004,2018-09-10,15,UnjeongCentral,Before
정왕동,금강,84.84,22700,1996,2018-09-05,6,UnjeongCentral,Before
정왕동,영남6,59.99,20000,1997,2018-09-22,10,UnjeongCentral,Before
정왕동,영남6,59.99,20100,1997,2018-09-04,6,UnjeongCentral,Before
정왕동,건영5,84.98,21500,2002,2018-09-19,3,UnjeongCentral,Before
능곡동,상록힐스테이트,85.0,35200,2009,2018-09-21,7,UnjeongCentral,Before
논곡동,산호,59.79,18500,1992,2018-09-07,6,UnjeongCentral,Before
조남동,삼호가든아파트,84.98,32300,1997,2018-09-12,7,UnjeongCentral,Before
논곡동,목감한양수자인아파트,59.9297,31750,2016,2018-09-02,3,UnjeongCentral,Before
정왕동,주공1,59.57,17500,1997,2018-09-14,8,UnjeongCentral,Before
장곡동,삼성래미안,84.97,23000,1999,2018-09-01,8,UnjeongCentral,Before
포동,태현신관1차아파트,50.81,14200,1991,2018-09-14,3,UnjeongCentral,Before
대야동,영남2,42.966,16000,1987,2018-09-03,6,UnjeongCentral,Before
정왕동,미주,59.91,17500,1996,2018-09-01,10,UnjeongCentral,Before
정왕동,시화두산,50.03,17500,1996,2018-09-27,2,UnjeongCentral,Before
대야동,청구2,59.835,25000,1997,2018-09-07,15,UnjeongCentral,Before
정왕동,모아,59.97,17900,1997,2018-09-20,5,UnjeongCentral,Before
정왕동,아주,34.8,11000,1994,2018-09-28,17,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,20900,2005,2018-09-01,16,UnjeongCentral,Before
조남동,삼호가든아파트,59.712,24000,1997,2018-09-08,14,UnjeongCentral,Before
거모동,아주3,59.775,13000,1992,2018-09-21,9,UnjeongCentral,Before
정왕동,건영7,66.0,19500,2001,2018-09-12,5,UnjeongCentral,Before
신천동,동진2,59.73,14300,1991,2018-09-12,2,UnjeongCentral,Before
조남동,삼호가든아파트,84.98,29500,1997,2018-09-07,8,UnjeongCentral,Before
장곡동,진말대우아파트,84.908,25900,1999,2018-09-15,9,UnjeongCentral,Before
목감동,명신,55.89,18200,1986,2018-09-18,1,UnjeongCentral,Before
장곡동,삼성래미안,84.97,22400,1999,2018-09-12,12,UnjeongCentral,Before
대야동,서해,59.58,23000,1997,2018-09-10,13,UnjeongCentral,Before
대야동,삼보,82.74,28900,1991,2018-09-10,3,UnjeongCentral,Before
은행동,두산,71.55,24900,1997,2018-09-04,6,UnjeongCentral,Before
논곡동,목감한양수자인아파트,71.9968,39000,2016,2018-09-20,20,UnjeongCentral,Before
정왕동,동원,84.75,28200,1998,2018-09-14,8,UnjeongCentral,Before
정왕동,세종1,84.94,27900,1996,2018-09-13,8,UnjeongCentral,Before
논곡동,목감한양수자인아파트,84.9489,40500,2016,2018-09-07,3,UnjeongCentral,Before
정왕동,아주,34.8,11000,1994,2018-09-18,3,UnjeongCentral,Before
정왕동,아주,34.8,10850,1994,2018-09-19,2,UnjeongCentral,Before
정왕동,아주,34.8,9200,1994,2018-09-13,1,UnjeongCentral,Before
정왕동,보성,59.89,20800,1998,2018-09-29,9,UnjeongCentral,Before
정왕동,보성,59.89,21000,1998,2018-09-10,7,UnjeongCentral,Before
조남동,목감퍼스트리움,59.8,38000,2015,2018-09-12,20,UnjeongCentral,Before
정왕동,계룡리슈빌,84.97,21700,1997,2018-09-14,9,UnjeongCentral,Before
정왕동,월드,59.935,17700,1995,2018-09-14,3,UnjeongCentral,Before
정왕동,대우,84.9868,22000,1996,2018-09-03,6,UnjeongCentral,Before
배곧동,한라비발디캠퍼스,71.874,34300,2017,2018-09-04,21,UnjeongCentral,Before
월곶동,월곶4차풍림아이원,84.842,26500,2006,2018-09-09,16,UnjeongCentral,Before
정왕동,보성,84.94,25900,1998,2018-09-15,5,UnjeongCentral,Before
월곶동,월곶4차풍림아이원,84.842,26000,2006,2018-09-21,10,UnjeongCentral,Before
정왕동,보성,59.89,19000,1998,2018-09-03,1,UnjeongCentral,Before
은행동,대우푸르지오1차,78.9,26000,1996,2018-09-05,9,UnjeongCentral,Before
거모동,일우,42.72,8900,1988,2018-09-05,5,UnjeongCentral,Before
정왕동,화성,128.43,31500,1997,2018-09-28,6,UnjeongCentral,Before
정왕동,아주,34.8,11000,1994,2018-09-13,7,UnjeongCentral,Before
매화동,삼화그린,59.76,16000,1998,2018-09-02,5,UnjeongCentral,Before
정왕동,보성,59.89,21000,1998,2018-09-17,8,UnjeongCentral,Before
정왕동,건영1,59.99,15800,1997,2018-09-10,3,UnjeongCentral,Before
조남동,목감한신더휴센트럴파크,84.99,48000,2017,2018-09-04,13,UnjeongCentral,Before
죽율동,시흥6차푸르지오1단지,84.99,26400,2014,2018-09-21,13,UnjeongCentral,Before
죽율동,시흥6차푸르지오1단지,59.98,23400,2014,2018-09-27,15,UnjeongCentral,Before
하중동,대우4,70.5746,24000,2002,2018-09-07,15,UnjeongCentral,Before
정왕동,보성,59.89,20000,1998,2018-09-13,6,UnjeongCentral,Before
조남동,목감퍼스트리움,59.8,38800,2015,2018-09-15,12,UnjeongCentral,Before
정왕동,계룡2,84.91,18500,1998,2018-09-20,2,UnjeongCentral,Before
조남동,목감퍼스트리움,59.8,38000,2015,2018-09-09,19,UnjeongCentral,Before
대야동,영남1,39.84,16500,1986,2018-09-01,4,UnjeongCentral,Before
정왕동,아주,34.8,11500,1994,2018-09-15,5,UnjeongCentral,Before
월곶동,승윤노블리안시티,13.44,6100,2014,2018-09-17,13,UnjeongCentral,Before
도창동,에이스,59.34,17800,1997,2018-09-11,13,UnjeongCentral,Before
정왕동,청솔아파트,48.45,15000,1999,2018-09-19,9,UnjeongCentral,Before
정왕동,주공2,59.88,16500,1997,2018-09-21,4,UnjeongCentral,Before
하중동,관곡마을동아,60.0,18100,2000,2018-09-20,5,UnjeongCentral,Before
대야동,서해,26.57,11600,1997,2018-09-28,2,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,20900,2005,2018-09-08,8,UnjeongCentral,Before
정왕동,유천,84.72,20500,1996,2018-09-07,8,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,20000,2005,2018-09-04,5,UnjeongCentral,Before
정왕동,부성파스텔,49.78,15800,1997,2018-09-03,4,UnjeongCentral,Before
대야동,청구2,84.94,32300,1997,2018-09-07,13,UnjeongCentral,Before
정왕동,부성파스텔,59.96,21000,1997,2018-09-07,5,UnjeongCentral,Before
정왕동,금강,84.84,23000,1996,2018-09-06,9,UnjeongCentral,Before
정왕동,금강,84.84,23000,1996,2018-09-01,6,UnjeongCentral,Before
은행동,대우푸르지오4차,101.1734,37000,2004,2018-09-27,2,UnjeongCentral,Before
하중동,데코빌,21.35,6450,2003,2018-09-10,5,UnjeongCentral,Before
대야동,영남1,39.84,16800,1986,2018-09-01,2,UnjeongCentral,Before
은행동,시흥성원샹떼빌,59.73,18900,1995,2018-09-10,8,UnjeongCentral,Before
신천동,시흥5차푸르지오,59.8272,27000,2011,2018-09-15,4,UnjeongCentral,Before
신천동,시흥5차푸르지오,93.8949,35500,2011,2018-09-22,12,UnjeongCentral,Before
은행동,시흥성원샹떼빌,37.8,16500,1995,2018-09-27,13,UnjeongCentral,Before
배곧동,시흥배곧신도시호반베르디움센트럴파크,65.049,30100,2015,2018-09-11,25,UnjeongCentral,Before
대야동,영남2,37.47,16300,1987,2018-09-08,3,UnjeongCentral,Before
정왕동,청솔아파트,48.45,14200,1999,2018-09-03,3,UnjeongCentral,Before
월곶동,풍림아이원2차,37.918,14000,2005,2018-09-08,14,UnjeongCentral,Before
정왕동,주공5,59.56,17000,1998,2018-09-20,8,UnjeongCentral,Before
하상동,연꽃마을대우삼호아파트,59.88,18000,1999,2018-09-15,15,UnjeongCentral,Before
배곧동,호반베르디움더프라임,63.844,32500,2016,2018-09-03,19,UnjeongCentral,Before
정왕동,영남3,59.908,17400,1996,2018-09-14,9,UnjeongCentral,Before
신천동,경남아너스빌아파트,119.1363,29800,2005,2018-09-14,2,UnjeongCentral,Before
정왕동,시화두산,59.97,18000,1996,2018-09-17,4,UnjeongCentral,Before
배곧동,호반베르디움더프라임,84.4646,42000,2016,2018-09-19,17,UnjeongCentral,Before
배곧동,시흥배곧신도시골드클래스,65.3165,30500,2016,2018-09-16,16,UnjeongCentral,Before
배곧동,호반베르디움더프라임,63.844,32500,2016,2018-09-16,4,UnjeongCentral,Before
배곧동,시흥배곧신도시호반베르디움센트럴파크,84.0196,41850,2015,2018-09-09,22,UnjeongCentral,Before
정왕동,주공3,59.67,16300,1997,2018-09-03,9,UnjeongCentral,Before
죽율동,시흥6차푸르지오2단지,84.98,25000,2013,2018-09-17,12,UnjeongCentral,Before
도창동,에이스,84.99,24600,1997,2018-09-10,17,UnjeongCentral,Before
월곶동,월곶4차풍림아이원,84.842,26500,2006,2018-09-18,12,UnjeongCentral,Before
월곶동,풍림아이원1차,59.985,18800,2002,2018-09-06,4,UnjeongCentral,Before
대야동,영남1,39.84,18500,1986,2018-09-12,1,UnjeongCentral,Before
정왕동,대우,84.9868,18500,1996,2018-09-20,5,UnjeongCentral,Before
신천동,제성,37.8,7700,1987,2018-09-19,2,UnjeongCentral,Before
거모동,동보,25.12,6450,1999,2018-09-12,4,UnjeongCentral,Before
은행동,풍림아이원,84.488,26700,2003,2018-09-03,4,UnjeongCentral,Before
정왕동,대우,73.9944,20000,1996,2018-09-01,3,UnjeongCentral,Before
은행동,광덕2,62.46,16200,1991,2018-09-10,7,UnjeongCentral,Before
은행동,대우푸르지오1차,78.9,28000,1996,2018-09-15,13,UnjeongCentral,Before
거모동,동보,25.12,6000,1999,2018-09-04,13,UnjeongCentral,Before
거모동,일우,42.72,8500,1988,2018-09-19,3,UnjeongCentral,Before
정왕동,대림4,117.251,27800,1997,2018-09-05,1,UnjeongCentral,Before
정왕동,신우,84.93,20000,1996,2018-09-10,4,UnjeongCentral,Before
정왕동,동보,84.94,19800,1997,2018-09-19,6,UnjeongCentral,Before
신천동,무지개,47.67,7400,1987,2018-09-08,2,UnjeongCentral,Before
은행동,대우푸르지오3차,59.258,23500,1998,2018-09-15,11,UnjeongCentral,Before
정왕동,화성,84.9,23000,1997,2018-09-03,2,UnjeongCentral,Before
대야동,서강1,52.2,17250,1995,2018-09-06,1,UnjeongCentral,Before
월곶동,풍림아이원1차,199.88,35700,2002,2018-09-11,18,UnjeongCentral,Before
월곶동,풍림아이원1차,32.95,12000,2002,2018-09-09,3,UnjeongCentral,Before
정왕동,미주,59.91,17000,1996,2018-09-14,2,UnjeongCentral,Before
거모동,동보,25.12,6000,1999,2018-09-19,20,UnjeongCentral,Before
배곧동,시흥배곧신도시호반베르디움센트럴파크,84.025,38500,2015,2018-09-18,21,UnjeongCentral,Before
대야동,서강2,59.98,22500,1997,2018-09-08,15,UnjeongCentral,Before
대야동,서강2,59.98,23000,1997,2018-09-05,12,UnjeongCentral,Before
정왕동,주공2,59.67,15500,1997,2018-09-18,8,UnjeongCentral,Before
은행동,대우푸르지오3차,59.258,24300,1998,2018-09-06,8,UnjeongCentral,Before
은행동,우남,84.7246,32500,2001,2018-09-08,9,UnjeongCentral,Before
정왕동,진로,59.78,15500,1997,2018-09-12,4,UnjeongCentral,Before
정왕동,진로,59.286,17800,1997,2018-09-01,8,UnjeongCentral,Before
정왕동,한신공영,73.09,22000,1996,2018-09-17,8,UnjeongCentral,Before
은행동,동경5차,59.94,12900,1989,2018-09-04,2,UnjeongCentral,Before
대야동,서강2,59.98,21900,1997,2018-09-03,10,UnjeongCentral,Before
정왕동,금강,59.97,17600,1996,2018-09-01,3,UnjeongCentral,Before
정왕동,화성,84.9,24500,1997,2018-09-01,9,UnjeongCentral,Before
배곧동,시흥배곧신도시호반베르디움센트럴파크,84.025,38300,2015,2018-09-15,20,UnjeongCentral,Before
정왕동,아주,84.195,18000,1994,2018-09-07,2,UnjeongCentral,Before
