Location,Complex,Area(m²),Price(₩10k),Built_Year,Contract_Date,Floor,Station,Phase
은행동,신명,48.84,17950,1995,2017-01-17,4,UnjeongCentral,Before
월곶동,풍림아이원2차,59.989,23900,2005,2017-01-22,16,UnjeongCentral,Before
월곶동,풍림아이원2차,84.829,26000,2005,2017-01-02,2,UnjeongCentral,Before
대야동,극동,84.57,29200,2000,2017-01-03,4,UnjeongCentral,Before
거모동,동원,53.64,11300,1991,2017-01-24,14,UnjeongCentral,Before
정왕동,영남3,59.908,18700,1996,2017-01-13,4,UnjeongCentral,Before
신천동,장미,45.81,13500,1986,2017-01-23,3,UnjeongCentral,Before
정왕동,계룡리슈빌,84.97,24000,1997,2017-01-16,3,UnjeongCentral,Before
하중동,관곡마을동아,60.0,18850,2000,2017-01-02,15,UnjeongCentral,Before
정왕동,동남,59.03,18600,1998,2017-01-16,4,UnjeongCentral,Before
정왕동,계룡2,59.79,19100,1998,2017-01-04,3,UnjeongCentral,Before
목감동,청도,48.8,13500,1986,2017-01-10,4,UnjeongCentral,Before
정왕동,유천,84.72,21000,1996,2017-01-12,4,UnjeongCentral,Before
정왕동,무진,54.63,16500,1995,2017-01-12,1,UnjeongCentral,Before
대야동,서해,59.85,24200,1997,2017-01-13,19,UnjeongCentral,Before
거모동,동보,59.72,15200,1999,2017-01-03,16,UnjeongCentral,Before
정왕동,주공5,59.66,18000,1998,2017-01-12,1,UnjeongCentral,Before
신천동,태광,48.15,10300,1986,2017-01-26,5,UnjeongCentral,Before
신천동,현진2차,56.63,13500,1998,2017-01-06,6,UnjeongCentral,Before
정왕동,신동아,59.78,17500,1996,2017-01-23,2,UnjeongCentral,Before
장현동,새재마을청구,59.91,22300,2001,2017-01-21,19,UnjeongCentral,Before
대야동,서강2,59.98,24000,1997,2017-01-20,7,UnjeongCentral,Before
포동,산과우리들포동태산,72.19,19750,1993,2017-01-24,8,UnjeongCentral,Before
정왕동,아주,34.8,13000,1994,2017-01-23,4,UnjeongCentral,Before
하상동,연꽃마을금호,59.79,17000,1999,2017-01-06,8,UnjeongCentral,Before
대야동,청구2,101.75,34000,1997,2017-01-12,13,UnjeongCentral,Before
신천동,경남아너스빌아파트,84.8762,29500,2005,2017-01-13,2,UnjeongCentral,Before
은행동,연희,44.73,8600,1986,2017-01-16,3,UnjeongCentral,Before
정왕동,주공2,59.67,17800,1997,2017-01-07,7,UnjeongCentral,Before
하중동,관곡마을동아,60.0,18850,2000,2017-01-30,7,UnjeongCentral,Before
정왕동,부성파스텔,49.78,17450,1997,2017-01-06,1,UnjeongCentral,Before
정왕동,건영4,84.93,24400,2000,2017-01-05,6,UnjeongCentral,Before
정왕동,주공5,59.59,18000,1998,2017-01-07,3,UnjeongCentral,Before
정왕동,건영5,84.92,24900,2002,2017-01-11,3,UnjeongCentral,Before
