법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
신갈동,원대마을신갈한신,84.99,23900,2002,2010-01-27,4,전대·에버랜드역,개통 전
중동,동백역한라비발디(어은목마을),128.295,56500,2006,2010-01-28,16,전대·에버랜드역,개통 전
중동,초당마을삼부르네상스12단지아파트(코아루),84.54,35000,2006,2010-01-04,15,전대·에버랜드역,개통 전
보정동,신촌마을포스홈타운1단지,133.7209,70000,2004,2010-01-14,6,전대·에버랜드역,개통 전
구갈동,강남마을주공,59.92,9993,2004,2010-01-26,7,전대·에버랜드역,개통 전
구갈동,강남마을주공,59.06,9762,2004,2010-01-27,2,전대·에버랜드역,개통 전
보라동,기흥삼정선비마을,84.856,20000,1998,2010-01-30,13,전대·에버랜드역,개통 전
보정동,죽현마을아이파크,84.7616,43500,2004,2010-01-09,6,전대·에버랜드역,개통 전
구갈동,강남마을계룡리슈빌(7단지),84.788,30500,2004,2010-01-30,18,전대·에버랜드역,개통 전
마북동,삼거마을삼성래미안1,84.99,47500,2002,2010-01-25,12,전대·에버랜드역,개통 전
동백동,호수마을계룡리슈빌,84.7683,37000,2006,2010-01-07,6,전대·에버랜드역,개통 전
중동,성산마을서해그랑블,129.897,50000,2006,2010-01-21,9,전대·에버랜드역,개통 전
마북동,교동마을정광아파트,59.94,17000,1997,2010-01-31,12,전대·에버랜드역,개통 전
동백동,백현마을한라비발디(2차),84.989,37000,2006,2010-01-20,9,전대·에버랜드역,개통 전
영덕동,경남아너스빌(11블럭),158.649,62000,2009,2010-01-13,7,전대·에버랜드역,개통 전
보정동,행원마을동아솔레시티,84.545,39300,2003,2010-01-23,9,전대·에버랜드역,개통 전
신갈동,파크시엘,84.98,36900,2004,2010-01-23,16,전대·에버랜드역,개통 전
동백동,호수마을서해그랑블,84.873,39800,2006,2010-01-16,8,전대·에버랜드역,개통 전
보정동,성호샤인힐즈아파트,84.983,30300,2005,2010-01-21,3,전대·에버랜드역,개통 전
언남동,초원마을성원상떼빌2차,105.6821,41400,2005,2010-01-11,5,전대·에버랜드역,개통 전
보정동,죽현마을아이파크,84.7616,47500,2004,2010-01-23,19,전대·에버랜드역,개통 전
상갈동,금화마을5단지주공그린빌,59.4,20000,2001,2010-01-25,17,전대·에버랜드역,개통 전
청덕동,청덕마을광도와이드빌,84.9854,21000,2003,2010-01-18,14,전대·에버랜드역,개통 전
중동,성산마을서해그랑블,129.897,54200,2006,2010-01-12,13,전대·에버랜드역,개통 전
마북동,블루밍구성더센트럴,59.783,23000,2000,2010-01-12,12,전대·에버랜드역,개통 전
구갈동,가현마을신안,109.708,39000,2001,2010-01-22,16,전대·에버랜드역,개통 전
중동,어은목마을경남아너스빌아파트,84.54,35730,2006,2010-01-25,12,전대·에버랜드역,개통 전
동백동,호수마을어울림,84.8,36000,2006,2010-01-21,10,전대·에버랜드역,개통 전
신갈동,새릉골풍림,84.9585,35000,2001,2010-01-23,8,전대·에버랜드역,개통 전
상갈동,금화마을주공3단지,59.97,21750,2001,2010-01-28,5,전대·에버랜드역,개통 전
상갈동,금화마을5단지주공그린빌,59.4,17100,2001,2010-01-26,1,전대·에버랜드역,개통 전
