법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
교문동,덕현,84.57,42000,1993,2017-01-17,10,장자호수공원역,개통 전
교문동,일성,84.85,31500,1999,2017-01-16,22,장자호수공원역,개통 전
수택동,원일(552),57.15,20700,1989,2017-01-08,4,장자호수공원역,개통 전
수택동,남양아이좋은집,59.9943,32000,2004,2017-01-11,8,장자호수공원역,개통 전
교문동,동방,84.96,32000,1998,2017-01-12,8,장자호수공원역,개통 전
인창동,원일아름,41.7,17000,1998,2017-01-11,17,장자호수공원역,개통 전
인창동,아름마을일신,60.0,29200,1999,2017-01-11,11,장자호수공원역,개통 전
수택동,럭키,59.34,24000,1992,2017-01-07,1,장자호수공원역,개통 전
인창동,동문굿모닝힐,84.9856,43800,2007,2017-01-02,16,장자호수공원역,개통 전
수택동,그린하우스,41.49,19450,2015,2017-01-06,4,장자호수공원역,개통 전
교문동,한가람아파트,62.01,33600,1994,2017-05-31,9,장자호수공원역,개통 전
인창동,주공4-2,59.97,29000,1996,2017-05-12,9,장자호수공원역,개통 전
수택동,한성3,59.72,34500,1994,2017-05-31,14,장자호수공원역,개통 전
수택동,엘지원앙,70.2,39500,1995,2017-05-30,11,장자호수공원역,개통 전
수택동,엘지원앙,49.83,28000,1995,2017-05-27,11,장자호수공원역,개통 전
수택동,엘지원앙,49.83,28000,1995,2017-05-30,13,장자호수공원역,개통 전
토평동,에스케이신일,84.9655,34000,2001,2017-05-31,1,장자호수공원역,개통 전
교문동,한가람아파트,84.92,41500,1994,2017-05-24,11,장자호수공원역,개통 전
인창동,원일아름,140.17,39000,1998,2017-05-26,15,장자호수공원역,개통 전
교문동,하나(유원)아파트,122.58,47000,1994,2017-05-26,3,장자호수공원역,개통 전
인창동,아름마을삼성,59.9807,28900,2000,2017-05-31,6,장자호수공원역,개통 전
수택동,대림한숲,62.25,32100,1995,2017-05-24,13,장자호수공원역,개통 전
수택동,럭키,59.34,26800,1992,2017-05-30,6,장자호수공원역,개통 전
인창동,주공6,59.76,31400,1996,2017-05-24,18,장자호수공원역,개통 전
수택동,한성3,59.72,34000,1994,2017-05-27,19,장자호수공원역,개통 전
교문동,장자마을금호1-2,54.556,37000,2001,2017-05-29,25,장자호수공원역,개통 전
인창동,주공4-2,59.97,29500,1996,2017-05-22,8,장자호수공원역,개통 전
교문동,구리두산,59.99,30400,1991,2017-05-31,5,장자호수공원역,개통 전
인창동,아름마을삼성,59.9807,28800,2000,2017-05-20,7,장자호수공원역,개통 전
인창동,주공4-1,58.14,30000,1996,2017-05-29,7,장자호수공원역,개통 전
