법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
진량읍 북리,우림필유,84.9019,21500,2007,2017-01-14,3,경산중앙역,개통 전
중산동,펜타힐즈서한이다음,59.8949,28300,2014,2017-01-21,31,경산중앙역,개통 전
진량읍 양기리,초원장미타운,59.88,9300,1996,2017-01-13,9,경산중앙역,개통 전
삼북동,삼북주공,59.99,12200,1997,2017-01-31,7,경산중앙역,개통 전
사동,부영2차,84.9768,17950,2001,2017-01-16,3,경산중앙역,개통 전
사정동,옥산삼산타운,59.96,11500,1995,2017-01-09,2,경산중앙역,개통 전
정평동,태왕귀빈타운,75.49,17000,1993,2017-01-03,1,경산중앙역,개통 전
백천동,경산백천월드메르디앙,84.9481,23150,2005,2017-01-16,1,경산중앙역,개통 전
중산동,옥산태왕ㆍ한라타운,59.99,14300,1996,2017-01-10,3,경산중앙역,개통 전
정평동,현대타운,59.82,16200,1996,2017-01-12,7,경산중앙역,개통 전
정평동,한솔2차,59.92,16100,1998,2017-01-21,9,경산중앙역,개통 전
백천동,경산백천월드메르디앙,84.9819,21900,2005,2017-01-21,2,경산중앙역,개통 전
진량읍 부기리,진량에덴타운,84.96,9500,1992,2017-01-02,3,경산중앙역,개통 전
진량읍 부기리,창신무학타운,59.91,8500,1996,2017-01-24,19,경산중앙역,개통 전
삼풍동,태왕드림하이츠,59.972,17350,2001,2017-01-21,3,경산중앙역,개통 전
사동,창신백조1,59.49,8300,1990,2017-01-09,1,경산중앙역,개통 전
대평동,대평그린빌,59.45,17700,2004,2017-01-06,3,경산중앙역,개통 전
진량읍 신상리,보국웰리치,84.49,22600,2005,2017-01-05,12,경산중앙역,개통 전
진량읍 봉회리,경산1차삼주봉황타운,33.54,5300,1996,2017-01-03,8,경산중앙역,개통 전
옥곡동,부영두리마을(3단지),59.987,15900,2006,2017-01-30,1,경산중앙역,개통 전
옥곡동,동화프라임빌,78.3714,21000,2004,2017-01-26,6,경산중앙역,개통 전
옥곡동,한일유앤아이,84.9442,23000,2005,2017-01-16,4,경산중앙역,개통 전
사동,창신백조1,59.49,9400,1990,2017-01-24,3,경산중앙역,개통 전
사동,초원파크,59.95,9000,1991,2017-01-18,13,경산중앙역,개통 전
압량읍 신대리,경산한신휴플러스아파트,84.9175,29650,2016,2017-01-30,11,경산중앙역,개통 전
정평동,태왕귀빈타운,84.99,21500,1993,2017-01-20,13,경산중앙역,개통 전
정평동,현대타운,59.82,17000,1996,2017-01-10,11,경산중앙역,개통 전
하양읍 동서리,하양청구1차,59.97,12500,1994,2017-01-04,5,경산중앙역,개통 전
옥산동,창신성암타운,56.01,9750,1993,2017-01-31,4,경산중앙역,개통 전
정평동,태왕귀빈타운,59.34,14100,1993,2017-01-03,3,경산중앙역,개통 전
상방동,태성맨션,59.95,8500,1995,2017-01-11,5,경산중앙역,개통 전
진량읍 북리,우림필유,84.9019,18950,2007,2017-01-11,2,경산중앙역,개통 전
중산동,옥산태왕ㆍ한라타운,59.99,16000,1996,2017-01-09,13,경산중앙역,개통 전
진량읍 봉회리,경산1차삼주봉황타운,59.26,8650,1996,2017-01-17,6,경산중앙역,개통 전
정평동,우방맨션1차,128.28,28000,1990,2017-01-10,14,경산중앙역,개통 전
사동,부영(5차)그린마을,59.987,14600,2003,2017-01-07,4,경산중앙역,개통 전
진량읍 황제리,창신황제타운,59.91,8100,1996,2017-01-30,18,경산중앙역,개통 전
진량읍 북리,경산4차삼주봉황타운,59.62,9600,1998,2017-01-05,16,경산중앙역,개통 전
진량읍 양기리,초원장미타운,59.88,7150,1996,2017-01-30,6,경산중앙역,개통 전
사동,사동2지구화성파크드림,119.0504,37500,2010,2017-01-06,16,경산중앙역,개통 전
사정동,옥산삼산타운,23.1,5200,1995,2017-01-07,4,경산중앙역,개통 전
진량읍 황제리,창신황제타운,59.91,8950,1996,2017-01-06,5,경산중앙역,개통 전
옥산동,우방타운,102.7,20400,1993,2017-01-17,12,경산중앙역,개통 전
하양읍 금락리,경산하양롯데,84.89,21000,1999,2017-01-19,14,경산중앙역,개통 전
옥곡동,부영조은마을(1단지),59.987,14000,2004,2017-01-23,14,경산중앙역,개통 전
압량읍 신대리,신대팰리스,59.9605,16500,2011,2017-01-31,5,경산중앙역,개통 전
진량읍 선화리,경산1차윤성,59.94,8000,1995,2017-01-31,13,경산중앙역,개통 전
계양동,계양주공,46.74,7950,1985,2017-01-14,4,경산중앙역,개통 전
압량읍 신대리,부영사랑으로2차,59.9605,20000,2011,2017-01-02,13,경산중앙역,개통 전
와촌면 덕촌리,예다인,59.7325,9200,2009,2017-01-25,1,경산중앙역,개통 전
옥곡동,부영조은마을(1단지),84.9751,19000,2004,2017-01-17,13,경산중앙역,개통 전
