법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
대성동,은어송마을2단지(코오롱하늘채),84.9905,19759,2007,2007-04-25,6,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.9954,19680,2007,2007-04-20,28,대전 1호선,개통 후
용운동,모리,59.66,5500,1998,2007-04-14,3,대전 1호선,개통 후
판암동,주공5,38.64,3400,1992,2007-04-07,6,대전 1호선,개통 후
판암동,주공5,38.64,3350,1992,2007-04-01,13,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.997,19800,2007,2007-04-25,27,대전 1호선,개통 후
용운동,주공,42.74,7500,1985,2007-04-05,1,대전 1호선,개통 후
가오동,은어송마을3단지(가오아이파크),84.9326,19300,2006,2007-04-02,6,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),121.3897,26452,2007,2007-04-25,20,대전 1호선,개통 후
용전동,신동아,84.56,6800,1990,2007-04-16,2,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.997,19250,2007,2007-04-25,28,대전 1호선,개통 후
인동,구룡아트빌,84.45,9000,2005,2007-04-10,6,대전 1호선,개통 후
가양동,동신,75.37,6850,1979,2007-04-05,5,대전 1호선,개통 후
가양동,와이즈빌,84.855,12000,2005,2007-04-26,5,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.9905,19400,2007,2007-04-24,5,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.9905,19489,2007,2007-04-24,5,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),102.819,22920,2007,2007-04-24,7,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),102.819,23040,2007,2007-04-23,6,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),102.819,22970,2007,2007-04-24,9,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.9905,19500,2007,2007-04-16,17,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),121.3897,26752,2007,2007-04-20,16,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.9905,20100,2007,2007-04-23,18,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.997,19100,2007,2007-04-26,28,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.997,19350,2007,2007-04-20,6,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.9905,18859,2007,2007-04-23,3,대전 1호선,개통 후
가양동,옥수맨션,84.37,6000,1989,2007-04-17,5,대전 1호선,개통 후
대성동,은어송마을2단지(코오롱하늘채),84.9954,19380,2007,2007-04-21,18,대전 1호선,개통 후
판암동,주공2,58.01,6600,1990,2007-04-21,7,대전 1호선,개통 후
판암동,주공1,45.77,3800,1990,2007-04-05,2,대전 1호선,개통 후
효동,효동현대,59.9025,8750,1998,2007-04-08,2,대전 1호선,개통 후
