법정동,단지명,전용면적(m²),거래금액(만원),건축년도,계약일,층,역이름,시기
논곡동,산호,59.79,13300,1992,2015-01-23,16,시흥시청역,개통 전
정왕동,동남,46.95,13850,1998,2015-01-17,5,시흥시청역,개통 전
정왕동,영남6,59.99,18500,1997,2015-01-15,7,시흥시청역,개통 전
은행동,대우푸르지오3차,59.258,21600,1998,2015-01-17,20,시흥시청역,개통 전
장곡동,동양덱스빌,59.94,17700,1999,2015-01-31,15,시흥시청역,개통 전
은행동,대우푸르지오4차,84.7561,33400,2004,2015-01-15,16,시흥시청역,개통 전
장곡동,숲속마을,59.965,16500,1999,2015-01-24,15,시흥시청역,개통 전
장곡동,숲속마을,59.965,16000,1999,2015-01-22,19,시흥시청역,개통 전
대야동,우성2,59.96,20600,1995,2015-01-14,12,시흥시청역,개통 전
대야동,서강2,59.98,19500,1997,2015-01-23,5,시흥시청역,개통 전
정왕동,주공1,59.57,14800,1997,2015-01-30,1,시흥시청역,개통 전
은행동,대우푸르지오4차,84.7561,32500,2004,2015-01-30,3,시흥시청역,개통 전
포동,산과우리들포동태산,84.03,18000,1993,2015-01-31,18,시흥시청역,개통 전
대야동,우성2,59.96,21500,1995,2015-01-15,12,시흥시청역,개통 전
조남동,수정,84.84,18900,1994,2015-01-31,15,시흥시청역,개통 전
목감동,대명,74.16,16000,1990,2015-01-28,6,시흥시청역,개통 전
조남동,삼호가든아파트,84.98,25000,1997,2015-01-15,17,시흥시청역,개통 전
미산동,해가든더클래식,148.8,36000,2009,2015-01-20,13,시흥시청역,개통 전
장현동,새재마을대동,59.85,17000,1999,2015-01-12,13,시흥시청역,개통 전
장곡동,숲속마을,59.755,15000,1999,2015-01-17,19,시흥시청역,개통 전
장곡동,숲속마을,59.755,17800,1999,2015-01-21,16,시흥시청역,개통 전
죽율동,시흥6차푸르지오2단지,84.98,27000,2013,2015-01-29,7,시흥시청역,개통 전
정왕동,건영5,84.92,22900,2002,2015-01-21,10,시흥시청역,개통 전
하상동,연꽃마을금호,59.79,15800,1999,2015-01-15,14,시흥시청역,개통 전
하상동,연꽃마을금호,84.85,22000,1999,2015-01-15,16,시흥시청역,개통 전
정왕동,신동아,59.78,17200,1996,2015-01-26,2,시흥시청역,개통 전
능곡동,시흥능곡신안인스빌,84.958,29200,2008,2015-01-26,4,시흥시청역,개통 전
월곶동,풍림아이원2차,59.989,19450,2005,2015-01-10,7,시흥시청역,개통 전
매화동,매화마을홍익,59.79,14900,2000,2015-01-25,11,시흥시청역,개통 전
대야동,서해,59.58,20800,1997,2015-01-17,12,시흥시청역,개통 전
거모동,동보,59.72,13500,1999,2015-01-31,2,시흥시청역,개통 전
정왕동,영남3,59.908,17650,1996,2015-01-07,3,시흥시청역,개통 전
장곡동,연성대우3,70.0166,21450,2000,2015-01-15,8,시흥시청역,개통 전
대야동,서강2,59.98,19400,1997,2015-01-31,2,시흥시청역,개통 전
은행동,대우푸르지오4차,84.7561,33000,2004,2015-01-17,11,시흥시청역,개통 전
미산동,해가든더클래식,148.8,32500,2009,2015-01-28,8,시흥시청역,개통 전
하중동,참이슬마을,72.15,20700,1999,2015-01-23,17,시흥시청역,개통 전
대야동,우성2,41.55,13200,1995,2015-01-20,14,시흥시청역,개통 전
대야동,우성1,101.935,28300,1995,2015-01-27,15,시흥시청역,개통 전
정왕동,부성파스텔,59.96,19100,1997,2015-01-24,4,시흥시청역,개통 전
은행동,신명,48.84,14400,1995,2015-01-14,8,시흥시청역,개통 전
신천동,우남한신휴플러스,59.98,15400,1996,2015-01-08,19,시흥시청역,개통 전
장현동,새재마을청구,59.99,17800,2001,2015-01-24,3,시흥시청역,개통 전
장현동,새재마을청구,59.91,18000,2001,2015-01-31,14,시흥시청역,개통 전
하중동,참이슬마을,72.15,18500,1999,2015-01-11,4,시흥시청역,개통 전
정왕동,요진,59.856,16200,1997,2015-01-27,1,시흥시청역,개통 전
하중동,관곡마을동아,60.0,15500,2000,2015-01-13,15,시흥시청역,개통 전
정왕동,모아,59.97,17950,1997,2015-01-23,2,시흥시청역,개통 전
월곶동,풍림아이원1차,26.94,8450,2002,2015-01-31,3,시흥시청역,개통 전
정왕동,동보,84.94,19300,1997,2015-01-30,5,시흥시청역,개통 전
하중동,참이슬마을,84.96,23000,1999,2015-01-23,15,시흥시청역,개통 전
장곡동,삼성래미안,74.464,18500,1999,2015-01-30,2,시흥시청역,개통 전
정왕동,주공4,59.62,17950,1998,2015-01-07,7,시흥시청역,개통 전
거모동,아주5,59.93,15300,1994,2015-01-18,3,시흥시청역,개통 전
정왕동,유천,59.995,17150,1996,2015-01-21,10,시흥시청역,개통 전
신천동,경남아너스빌아파트,59.751,21000,2005,2015-01-13,8,시흥시청역,개통 전
장곡동,숲속마을,59.755,16000,1999,2015-01-10,16,시흥시청역,개통 전
정왕동,미주,59.91,18200,1996,2015-01-31,6,시흥시청역,개통 전
월곶동,풍림아이원2차,59.989,19000,2005,2015-01-24,14,시흥시청역,개통 전
거모동,아주3,59.775,11350,1992,2015-01-07,17,시흥시청역,개통 전
정왕동,세종1,84.94,22750,1996,2015-01-28,10,시흥시청역,개통 전
정왕동,보성,84.94,20900,1998,2015-01-27,1,시흥시청역,개통 전
정왕동,영남6,59.99,17800,1997,2015-01-08,1,시흥시청역,개통 전
매화동,서능1차(101~103동),45.66,7200,1991,2015-01-31,4,시흥시청역,개통 전
정왕동,세종1,119.64,27000,1996,2015-01-26,2,시흥시청역,개통 전
죽율동,시흥6차푸르지오2단지,59.98,24450,2013,2015-01-20,6,시흥시청역,개통 전
정왕동,계룡리슈빌,59.85,16500,1997,2015-01-07,1,시흥시청역,개통 전
월곶동,월곶4차풍림아이원,84.842,26000,2006,2015-01-26,22,시흥시청역,개통 전
정왕동,신호새피앙,84.98,21400,1997,2015-01-24,2,시흥시청역,개통 전
하상동,연꽃마을금호,84.85,20900,1999,2015-01-14,2,시흥시청역,개통 전
신천동,뉴월드,84.96,20500,1997,2015-01-06,13,시흥시청역,개통 전
목감동,동우,44.19,9700,1986,2015-01-28,1,시흥시청역,개통 전
목감동,동우,51.0,10800,1986,2015-01-19,1,시흥시청역,개통 전
장곡동,숲속마을,59.965,16900,1999,2015-01-19,18,시흥시청역,개통 전
장곡동,숲속마을,59.755,15500,1999,2015-01-10,6,시흥시청역,개통 전
정왕동,대림2,59.903,18100,1998,2015-01-21,10,시흥시청역,개통 전
거모동,유호,59.82,16000,1998,2015-01-14,7,시흥시청역,개통 전
거모동,유호,74.21,17000,1998,2015-01-14,18,시흥시청역,개통 전
은행동,은행마을녹원,56.89,14200,1997,2015-01-14,9,시흥시청역,개통 전
은행동,대우푸르지오3차,59.258,22000,1998,2015-01-29,3,시흥시청역,개통 전
하상동,연꽃마을대우삼호아파트,134.34,30250,1999,2015-01-05,10,시흥시청역,개통 전
정왕동,계룡리슈빌,59.67,18900,1997,2015-01-14,2,시흥시청역,개통 전
신천동,한영둥지,68.02,14700,1991,2015-01-16,1,시흥시청역,개통 전
하중동,참이슬마을,125.22,26000,1999,2015-01-22,14,시흥시청역,개통 전
대야동,서강1,49.59,14100,1995,2015-01-05,8,시흥시청역,개통 전
신천동,시흥5차푸르지오,110.4398,37200,2011,2015-01-16,5,시흥시청역,개통 전
정왕동,대림2,59.903,19000,1998,2015-01-21,5,시흥시청역,개통 전
하상동,연꽃마을금호,59.61,15800,1999,2015-01-13,15,시흥시청역,개통 전
논곡동,산호,59.79,14000,1992,2015-01-14,14,시흥시청역,개통 전
대야동,서해,59.58,20900,1997,2015-01-05,18,시흥시청역,개통 전
은행동,대우푸르지오3차,84.908,27000,1998,2015-01-26,1,시흥시청역,개통 전
정왕동,세종2,59.88,17300,1997,2015-01-15,3,시흥시청역,개통 전
정왕동,대림1,84.91,23500,1998,2015-01-22,9,시흥시청역,개통 전
정왕동,부성파스텔,59.96,19000,1997,2015-01-24,2,시흥시청역,개통 전
월곶동,풍림아이원2차,84.829,23800,2005,2015-01-12,4,시흥시청역,개통 전
능곡동,시흥능곡자연앤(4단지),84.83,30800,2009,2015-01-24,6,시흥시청역,개통 전
능곡동,시흥능곡신안인스빌,84.958,27950,2008,2015-01-09,2,시흥시청역,개통 전
월곶동,월곶Ⅱ유호N플러스빌,121.6055,29000,2009,2015-01-30,1,시흥시청역,개통 전
정왕동,동보,84.94,19000,1997,2015-01-27,2,시흥시청역,개통 전
은행동,벽산3차,84.99,24200,1998,2015-01-17,16,시흥시청역,개통 전
정왕동,계룡리슈빌,84.97,22000,1997,2015-01-31,2,시흥시청역,개통 전
정왕동,건영2,59.98,16700,1997,2015-01-10,2,시흥시청역,개통 전
신천동,동진2,59.73,13000,1991,2015-01-02,3,시흥시청역,개통 전
신천동,동진1,59.64,12350,1990,2015-01-04,4,시흥시청역,개통 전
대야동,서강1,52.2,14800,1995,2015-01-16,16,시흥시청역,개통 전
하상동,연꽃마을금호,84.84,22250,1999,2015-01-26,13,시흥시청역,개통 전
신천동,경남아너스빌아파트,84.8762,26900,2005,2015-01-05,3,시흥시청역,개통 전
정왕동,청솔아파트,48.45,14800,1999,2015-01-16,3,시흥시청역,개통 전
매화동,대원,45.0,6400,1990,2015-01-31,4,시흥시청역,개통 전
은행동,대우2차,50.884,15700,1997,2015-01-31,14,시흥시청역,개통 전
하상동,연꽃마을금호,59.79,15900,1999,2015-01-03,14,시흥시청역,개통 전
은행동,산호아파트,49.22,8900,1989,2015-01-15,4,시흥시청역,개통 전
대야동,영남2,37.47,11000,1987,2015-01-06,5,시흥시청역,개통 전
거모동,동원,53.64,9200,1991,2015-01-30,1,시흥시청역,개통 전
신천동,동경4,43.47,8900,1989,2015-01-15,2,시흥시청역,개통 전
정왕동,대우,73.9944,19000,1996,2015-01-17,9,시흥시청역,개통 전
정왕동,대림1,51.228,15000,1998,2015-01-23,4,시흥시청역,개통 전
정왕동,미주,59.91,17000,1996,2015-01-24,4,시흥시청역,개통 전
능곡동,우남퍼스트빌,84.894,32500,2011,2015-01-22,12,시흥시청역,개통 전
은행동,대우2차,50.884,15500,1997,2015-01-06,12,시흥시청역,개통 전
월곶동,풍림아이원2차,37.918,14000,2005,2015-01-17,14,시흥시청역,개통 전
정왕동,대우,84.9868,20500,1996,2015-01-30,4,시흥시청역,개통 전
정왕동,영남1,59.908,15900,1996,2015-01-22,1,시흥시청역,개통 전
포동,산과우리들포동태산,59.95,11000,1993,2015-01-22,1,시흥시청역,개통 전
월곶동,풍림아이원2차,37.918,14000,2005,2015-01-23,13,시흥시청역,개통 전
신천동,은하수드림힐,84.92,23150,2009,2015-01-12,12,시흥시청역,개통 전
정왕동,대림2,51.228,15300,1998,2015-01-07,5,시흥시청역,개통 전
죽율동,시흥6차푸르지오1단지,84.99,29990,2014,2015-01-30,22,시흥시청역,개통 전
정왕동,계룡2,59.79,18000,1998,2015-01-26,5,시흥시청역,개통 전
죽율동,시흥6차푸르지오2단지,107.58,32788,2013,2015-01-30,2,시흥시청역,개통 전
정왕동,계룡2,59.85,16400,1998,2015-01-03,2,시흥시청역,개통 전
정왕동,건영1,59.99,15000,1997,2015-01-17,1,시흥시청역,개통 전
정왕동,유천,59.92,14900,1996,2015-01-12,2,시흥시청역,개통 전
정왕동,월드,59.935,17000,1995,2015-01-23,5,시흥시청역,개통 전
정왕동,영남2,59.908,17850,1996,2015-01-31,4,시흥시청역,개통 전
은행동,풍림아이원,84.488,22500,2003,2015-01-02,4,시흥시청역,개통 전
월곶동,풍림아이원2차,37.918,13500,2005,2015-01-26,13,시흥시청역,개통 전
장곡동,동양덱스빌,59.94,15700,1999,2015-01-09,2,시흥시청역,개통 전
능곡동,우남퍼스트빌,84.8401,32000,2011,2015-01-22,11,시흥시청역,개통 전
정왕동,미주,84.87,22650,1996,2015-01-24,9,시흥시청역,개통 전
정왕동,시화두산,50.03,15300,1996,2015-01-28,3,시흥시청역,개통 전
은행동,풍림아이원,84.488,23500,2003,2015-01-06,6,시흥시청역,개통 전
